,simulation,model,n_sample,n_dim,rep,s@98
440,trunk,KNN,4096.0,4.0,68.0,0.0
441,trunk,KNN,4096.0,4.0,60.0,0.0
442,trunk,KNN,4096.0,4.0,63.0,0.0
443,trunk,KNN,4096.0,4.0,35.0,0.0
444,trunk,KNN,4096.0,4.0,37.0,0.0
445,trunk,KNN,4096.0,4.0,64.0,0.0
446,trunk,KNN,4096.0,4.0,41.0,0.0
447,trunk,KNN,4096.0,4.0,67.0,0.0
448,trunk,KNN,4096.0,4.0,29.0,0.0
449,trunk,KNN,4096.0,4.0,70.0,0.0234718826405868
450,trunk,KNN,4096.0,4.0,57.0,0.0
