sas98,idx,n_samples,n_dims_1,n_dims_2
0.0078125,91,256,509,6
-0.015625,91,256,1021,6
0.1015625,92,256,5,6
0.0625,92,256,13,6
0.109375,92,256,29,6
0.15625,92,256,61,6
0.125,92,256,125,6
0.1171875,92,256,253,6
0.09375,92,256,509,6
0.03125,92,256,1021,6
0.1171875,93,256,5,6
0.1171875,93,256,13,6
0.125,93,256,29,6
0.0390625,93,256,61,6
0.109375,93,256,125,6
0.0859375,93,256,253,6
0.0625,93,256,509,6
-0.0390625,93,256,1021,6
0.140625,94,256,5,6
0.1328125,94,256,13,6
0.0859375,94,256,29,6
0.1171875,94,256,61,6
0.0859375,94,256,125,6
0.0078125,94,256,253,6
0.0390625,94,256,509,6
0.0625,94,256,1021,6
0.09375,95,256,5,6
0.03125,95,256,13,6
0.0234375,95,256,29,6
0.046875,95,256,61,6
0.0546875,95,256,125,6
0.0234375,95,256,253,6
0.0078125,95,256,509,6
-0.0625,95,256,1021,6
0.109375,96,256,5,6
0.046875,96,256,13,6
0.03125,96,256,29,6
0.09375,96,256,61,6
0.046875,96,256,125,6
0.0625,96,256,253,6
0.03125,96,256,509,6
0.0390625,96,256,1021,6
0.046875,97,256,5,6
0.0,97,256,13,6
0.0625,97,256,29,6
-0.0390625,97,256,61,6
0.078125,97,256,125,6
-0.0234375,97,256,253,6
0.1640625,97,256,509,6
0.0078125,97,256,1021,6
-0.0078125,98,256,5,6
0.0546875,98,256,13,6
0.0,98,256,29,6
-0.0078125,98,256,61,6
-0.0078125,98,256,125,6
0.0234375,98,256,253,6
0.015625,98,256,509,6
0.0,98,256,1021,6
0.078125,99,256,5,6
0.0625,99,256,13,6
-0.046875,99,256,29,6
0.1171875,99,256,61,6
0.0234375,99,256,125,6
0.0703125,99,256,253,6
0.0390625,99,256,509,6
0.0078125,99,256,1021,6
