sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.00390625,-0.0001216199388799355,54,512,506,6
-0.01171875,9.918153609911329e-05,54,512,1018,6
-0.01171875,-0.0018347088178349846,55,512,2,6
0.01171875,-0.0006202791863444412,55,512,10,6
0.02734375,-4.411015525662698e-05,55,512,26,6
0.00390625,5.8342332816319065e-05,55,512,58,6
0.015625,0.0002842262942829299,55,512,122,6
0.02734375,-0.00016629661872435975,55,512,250,6
-0.01171875,0.00011013607801046987,55,512,506,6
-0.0078125,-6.564787618246193e-05,55,512,1018,6
-0.01953125,0.0006930381698380117,56,512,2,6
0.0078125,5.005108927758073e-05,56,512,10,6
-0.01171875,3.055167596210939e-05,56,512,26,6
0.00390625,-0.00045579262834205547,56,512,58,6
-0.015625,-0.00032685082663697074,56,512,122,6
-0.0078125,0.00034295740502510164,56,512,250,6
0.01953125,-0.00024554286507461054,56,512,506,6
0.0078125,-9.069668562755595e-05,56,512,1018,6
-0.04296875,0.0007688272234337434,57,512,2,6
0.0,-0.0005167399026103636,57,512,10,6
-0.015625,-0.0004925830105826368,57,512,26,6
-0.00390625,0.00045684286313008027,57,512,58,6
-0.04296875,-0.00021512371256959817,57,512,122,6
0.0,-0.0002336421331400329,57,512,250,6
-0.0078125,0.00019934570185076161,57,512,506,6
0.0,0.0001050122116960095,57,512,1018,6
0.0859375,-0.00029841392331431127,58,512,2,6
0.00390625,0.0003219152235629519,58,512,10,6
-0.01171875,0.0003431635388881915,58,512,26,6
0.00390625,-0.0006056085217175378,58,512,58,6
0.06640625,0.0005082791091609584,58,512,122,6
0.00390625,-0.00015485372467727299,58,512,250,6
0.0,-9.98216439223043e-05,58,512,506,6
0.00390625,2.009651455392447e-05,58,512,1018,6
0.0,-0.0015048052237778275,59,512,2,6
0.0,0.000606427293835643,59,512,10,6
0.02734375,8.663769302907909e-05,59,512,26,6
0.0,0.0006610680392491464,59,512,58,6
0.0,5.440283130397905e-05,59,512,122,6
-0.00390625,0.00011467490890160192,59,512,250,6
-0.01171875,0.00014297415274744374,59,512,506,6
0.0078125,-6.717061332095486e-05,59,512,1018,6
-0.02734375,0.0019499366389058581,60,512,2,6
-0.01171875,-0.00017282386399375405,60,512,10,6
-0.0078125,4.156817328615503e-05,60,512,26,6
0.00390625,-0.0011280140354970047,60,512,58,6
-0.046875,-0.0002508239498132392,60,512,122,6
0.0078125,-8.97536281554423e-05,60,512,250,6
0.00390625,-6.132590967400375e-05,60,512,506,6
-0.01171875,-0.00012563830147205302,60,512,1018,6
0.01171875,-0.005285429820729992,61,512,2,6
0.0,-0.0024675977931857274,61,512,10,6
0.0,-0.0016071858599238098,61,512,26,6
-0.00390625,0.0002532148724722072,61,512,58,6
0.04296875,-0.0004181901758112394,61,512,122,6
-0.0078125,-0.00013987446958041438,61,512,250,6
0.0078125,-0.00011614106839585858,61,512,506,6
0.0078125,0.00011257438762368732,61,512,1018,6
-0.015625,0.003998315877780101,62,512,2,6
0.01171875,0.002084623780630457,62,512,10,6
-0.0078125,0.0015473794913998251,62,512,26,6
-0.0078125,0.0006995123678136261,62,512,58,6
-0.0078125,0.00046634812032608775,62,512,122,6
