n_dims_1,sim_type,model,metric,metric_value
250,multi_equal,comight,auc,0.4676666259765625
250,multi_equal,comight,auc,0.492279052734375
250,multi_equal,comight,auc,0.4620819091796875
250,multi_equal,comight,auc,0.4123382568359375
250,multi_equal,comight,auc,0.48974609375
250,multi_equal,comight,auc,0.4764404296875
250,multi_equal,comight,auc,0.4864044189453125
250,multi_equal,comight,auc,0.4607696533203125
250,multi_equal,comight,auc,0.484771728515625
250,multi_equal,comight,auc,0.511016845703125
250,multi_equal,comight,auc,0.541290283203125
250,multi_equal,comight,auc,0.5304107666015625
250,multi_equal,comight,auc,0.4943389892578125
250,multi_equal,comight,auc,0.4596405029296875
250,multi_equal,comight,auc,0.5334014892578125
250,multi_equal,comight,auc,0.497528076171875
250,multi_equal,comight,auc,0.5402679443359375
250,multi_equal,comight,auc,0.510498046875
250,multi_equal,comight,auc,0.5434722900390625
250,multi_equal,comight,auc,0.509033203125
250,multi_equal,comight,auc,0.4492950439453125
250,multi_equal,comight,auc,0.4812164306640625
250,multi_equal,comight,auc,0.5292816162109375
250,multi_equal,comight,auc,0.3888397216796875
250,multi_equal,comight,auc,0.5010833740234375
250,multi_equal,comight,auc,0.5060272216796875
250,multi_equal,comight,auc,0.5198211669921875
250,multi_equal,comight,auc,0.495208740234375
250,multi_equal,comight,auc,0.4915771484375
250,multi_equal,comight,auc,0.483184814453125
506,multi_equal,comight,auc,0.5445404052734375
506,multi_equal,comight,auc,0.544464111328125
506,multi_equal,comight,auc,0.490478515625
506,multi_equal,comight,auc,0.4846954345703125
506,multi_equal,comight,auc,0.406768798828125
506,multi_equal,comight,auc,0.4972381591796875
506,multi_equal,comight,auc,0.472930908203125
506,multi_equal,comight,auc,0.5415191650390625
506,multi_equal,comight,auc,0.4814453125
506,multi_equal,comight,auc,0.44549560546875
506,multi_equal,comight,auc,0.4689788818359375
506,multi_equal,comight,auc,0.49810791015625
506,multi_equal,comight,auc,0.4865570068359375
506,multi_equal,comight,auc,0.4838409423828125
506,multi_equal,comight,auc,0.5252685546875
506,multi_equal,comight,auc,0.458709716796875
506,multi_equal,comight,auc,0.521820068359375
506,multi_equal,comight,auc,0.4471588134765625
506,multi_equal,comight,auc,0.4495391845703125
